epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,933.493,0.32697,0.27566,0.99049,0.99356,1,0.995,0.96338,0.32347,0.24887,1.16004,0.00010405,0.00010405,0.00010405
183,938.339,0.30385,0.26624,0.98142,0.99356,1,0.995,0.96338,0.32347,0.24887,1.16004,9.91e-05,9.91e-05,9.91e-05
184,943.31,0.34363,0.28295,0.9966,0.99211,1,0.995,0.96745,0.31989,0.25205,1.16041,9.415e-05,9.415e-05,9.415e-05
185,948.418,0.32428,0.27135,0.98147,0.99384,1,0.995,0.96976,0.31712,0.25029,1.15759,8.92e-05,8.92e-05,8.92e-05
186,953.493,0.34875,0.30616,1.00977,0.99275,1,0.995,0.96777,0.31739,0.24883,1.15409,8.425e-05,8.425e-05,8.425e-05
187,958.331,0.35344,0.27856,1.00316,0.99275,1,0.995,0.96777,0.31739,0.24883,1.15409,7.93e-05,7.93e-05,7.93e-05
188,963.248,0.34029,0.27609,0.99026,0.9937,1,0.995,0.96865,0.31865,0.24757,1.15138,7.435e-05,7.435e-05,7.435e-05
189,968.182,0.35045,0.28215,1.01509,0.9939,1,0.995,0.96865,0.31809,0.24614,1.15117,6.94e-05,6.94e-05,6.94e-05
190,973.102,0.32736,0.2755,0.99343,0.99378,1,0.995,0.96987,0.3177,0.24433,1.15309,6.445e-05,6.445e-05,6.445e-05
191,979.806,0.26996,0.2417,0.93298,0.99378,1,0.995,0.96987,0.3177,0.24433,1.15309,5.95e-05,5.95e-05,5.95e-05
